Generation,Gen Years,Company,Console,Units Sold (millions),Tooltip
1,1972-1978,Magnavox,Odyssey,0.35,"Generation 1 Winner:<br>The very first home console, the Odyssey required users to put plastic overlays onto their TV's to produce visuals."
1,1972-1978,Atari,Home Pong,0.15,Atari's first console played just one game - Pong - but was critical in helping popularize home gaming.
2,1978-1982,Atari,2600,30.00,"Generation 2 Winner:<br>The first major success in home console gaming, Atari's second release introduced the modern cartridge system, and featured popular arcade games from the era."
2,1978-1982,Magnavox,Odyssey2,2.00,"The Odyssey² more closely resembled a personal computer, with a full keyboard and programmable cartridges, it was targeted more at enthusiasts, limiting the console's market."
2,1978-1982,Mattel,Intellivision,5.00,"Mattel's foray into home gaming represented the first real challenger to Atari's dominance, finding success among older audiences with its higher graphics quality more advanced games."
3,1982-1988,Atari,5200/7800,4.77,"While Atari's 5200 and 7800 systems improved on the performance of the 2600, its size, pricepoint, and controller caused it to struggle in a increasingly competitive market."
3,1982-1988,Nintendo,Entertainment System,61.91,"Generation 3 Winner:<br>The NES is often credited with saving the gaming industry after the crash of 1983, when the industry plummeted by 97% due to years of low quality releases. It found success by bundling consoles with a Robot called R.O.B., allowing the console to be marketed as a toy, rather than a video game."
3,1982-1988,Sega,Master System,20.84,"While not as successful as the NES, the Master System would introduce iconic franchises like Sonic, and would begin a decades long Nintendo-Sega rivalry."
4,1988-1994,Sega,Genesis,34.06,"While improving on its predecessor, the Genesis ultimately faced challenges due to its high pricepoint and comparatively smaller library of games."
4,1988-1994,Nintendo,Super Entertainment System,49.10,"Generation 4 Winner:<br>Improving on the NES in every way, Nintendo's jump to 16-bit gaming was a show of dominance for the second consecutive generation, featuring iconic titles such as the very first Mario Kart."
5,1994-1998,Sony,PlayStation,102.49,"Generation 5 Winner:<br>The first Playstation would become one of the best selling consoles of all time, driven by its use of CD's over cartridges. This would allow for significantly larger and more complex games, and easier game development by third parties."
5,1994-1998,Sega,Saturn,9.26,"Despite its competitive hardware, a generally less competitive library of games saw the Saturn failing to keep pace with the titans of Sony and Nintendo."
5,1994-1998,Nintendo,64,32.93,"The N64, while losing to Sony, still found widespread success and critical acclaim. It is often credited with introducing modern 3D gaming through the technological innovation that was Mario 64."
6,1998-2005,Sega,Dreamcast,9.13,"Sega's final home console, the Dreamcast was unable to find a market niche in the same way as Nintendo, and was ultimately squashed by Sony. This would lead Sega to pivot into third party game development for other consoles."
6,1998-2005,Sony,PlayStation 2,160.01,"Generation 6 Winner:<br>The best selling console of all time, the Playstation 2 allowed consumers to play games and watch CD media through one device, leading to success in and beyond the traditional gaming market."
6,1998-2005,Nintendo,GameCube,21.74,"Despite falling behind in sales, Nintendo maintained a strong and loyal fanbase through their compelling exclusive titles like Mario Kart: Double Dash and Super Smash Bros. Melee."
6,1998-2005,Microsoft,Xbox,24.65,"Microsoft's first home console was introduced surprisingly late in the chronology, and was positioned more as a direct competitor to Sony's offerings, featuring many of the same key games. While powerful, it was host to infamous reliability issues in its later years, namely the Red Ring of Death."
7,2005-2012,Microsoft,Xbox 360,85.73,"A solid successor to their first console, Microsoft would find success marketing themselves as the mature gaming system, appealing to older audiences at a more reasonable price than Sony."
7,2005-2012,Sony,PlayStation 3,87.40,"Despite 2 prior generations of dominance, the Playstation 3 would ultimately fumble due to an astronomical pricepoint. While later price cuts would allow them to regain some ground, their misstep was crucial in allowing Microsoft to take a more competitive share of the market."
7,2005-2012,Nintendo,Wii,101.63,"Generation 7 Winner:<br>Although its hardware was significantly weaker than the competition, the Wii would find immense success in the casual & family gaming market. This marked the start of Nintendo's Blue Ocean approach, as they carved a market niche by offering unique and novel gaming experiences, such as motion controls in Wii Sports."
8,2012-2017,Nintendo,Wii U,13.56,"Falling far from the heights of the original, the failure of Nintendo's successor to the ubiquitous Wii is often blamed on a faulty marketing campaign, which led many consumers to believe the Wii U was an optional add-on to the Wii, rather than a new console. "
8,2012-2017,Sony,PlayStation 4,117.20,"Generation 8 Winner:<br>Learning from their mistakes, the Playstation 4 represented a return to form for Sony, with compelling exclusive games, powerful hardware, and competitive pricing."
8,2012-2017,Microsoft,Xbox One,57.96,"While the Xbox One certainly lost some of its users to Sony's resurgence, it maintained a healthy market share with a focus on live service or subscription based gaming."
9,2017-Present,Nintendo,Switch,151.01,"Generation 9 Winner:<br>The Switch exploded onto the scene by effectively integrating Nintendo's immense handheld gaming market into their home console offerings. Similar to the Wii, it seperated itself through unqiue gaming experiences, driven by their detachable controller technology: the JoyCons."
9,2017-Present,Sony,PlayStation 5,77.26,"Receiving widespread acclaim, the Playstation 5 was almost universally loved - if you could find one. The largest factor limiting Sony's sales, beyond the return to high pricing, was simply the lack of purchasing avaialbility for years after its release."
9,2017-Present,Microsoft,Xbox Series X/S,33.27,"While the Xbox Series X and S offered similarly powerful hardware to Sony, the lack of system-selling features beyond that, such as Sony's haptic controllers or Nintendo's Joy-Cons, left Microsoft feeling stunted in the market."
